Disease,Prevalence,Prior_Weight,Typical_Min_Duration_Days,Typical_Max_Duration_Days,Duration_Category,Onset_Type,Progression_Type,Urgency_Level,Typical_Min_Age,Typical_Max_Age,Primary_Age_Group,Gender_Predisposition,Primary_Organ_System,Secondary_Organ_System,Typical_Severity_Level,Case_Fatality_Risk,Hospitalization_Likelihood,Chronicity_Type
croup,Common,0.75,2,7,Acute,Sudden,Self-limiting,High,0,6,Infant,Both,Respiratory,ENT,Moderate,Low,Sometimes,Acute Self-Limiting
crushing injury,Rare,0.35,1,90,Chronic,Sudden,Self-limiting,Emergency,0,90,All Ages,Both,Musculoskeletal,Multisystem,Severe,Moderate,Almost Always,Acute
cryptococcosis,Rare,0.35,14,90,Chronic,Gradual,Progressive,High,20,75,Young Adult,Both,Infectious Disease,Neurological,Severe,Moderate,Almost Always,Subacute
cryptorchidism,Rare,0.35,365,7300,Chronic,Sudden,Chronic Stable,Moderate,0,2,Infant,Male,Reproductive,Genitourinary,Mild,Very Low,Rare,Chronic
cushing syndrome,Very Rare,0.15,365,3650,Chronic,Insidious,Progressive,Moderate,20,60,Young Adult,Slightly Female,Endocrine,Multisystem,Moderate to Severe,Low,Sometimes,Chronic
cyst of the eyelid,Common,0.75,14,90,Chronic,Gradual,Self-limiting,Low,5,90,All Ages,Both,Ophthalmological,None,Mild,Very Low,Rare,Acute
cystic fibrosis,Rare,0.35,3650,14600,Chronic,Insidious,Progressive,High,0,45,Child,Both,Respiratory,Gastrointestinal,Severe,Moderate,Often,Chronic Progressive
cysticercosis,Rare,0.35,30,730,Chronic,Insidious,Progressive,Moderate,5,75,All Ages,Both,Infectious Disease,Neurological,Moderate,Low,Sometimes,Chronic
cystitis,Common,0.75,3,7,Acute,Sudden,Self-limiting,Moderate,15,85,Young Adult,Female,Genitourinary,Infectious Disease,Mild to Moderate,Very Low,Rare,Acute
de quervain disease,Common,0.75,30,180,Chronic,Gradual,Self-limiting,Low,30,60,Middle Aged,Female,Musculoskeletal,None,Moderate,Very Low,Rare,Subacute
decubitus ulcer,Common,0.75,14,365,Chronic,Gradual,Progressive,High,60,95,Elderly,Both,Dermatological,Neurological,Moderate to Severe,Low,Sometimes,Chronic
deep vein thrombosis (dvt),Common,0.75,14,180,Chronic,Sudden,Progressive,High,30,90,Middle Aged,Both,Cardiovascular,Hematological,Moderate to Severe,Low,Often,Acute
degenerative disc disease,Very Common,1,365,18250,Chronic,Insidious,Progressive,Moderate,30,95,Middle Aged,Both,Musculoskeletal,Neurological,Moderate,Very Low,Rare,Chronic Progressive
delirium,Common,0.75,1,7,Acute,Sudden,Self-limiting,Emergency,60,95,Elderly,Both,Neurological,Psychiatric,Severe,Low,Almost Always,Acute
dementia,Common,0.75,1095,7300,Chronic,Insidious,Progressive,Moderate,60,95,Elderly,Both,Neurological,Psychiatric,Severe,Very Low,Rare,Chronic Progressive
dengue fever,Common,0.75,5,14,Subacute,Sudden,Self-limiting,High,0,90,All Ages,Both,Infectious Disease,Hematological,Moderate to Severe,Low,Often,Acute Self-Limiting
dental caries,Very Common,1,180,7300,Chronic,Insidious,Progressive,Low,2,90,All Ages,Both,ENT,None,Mild,Very Low,Rare,Chronic Progressive
depression,Very Common,1,60,18250,Chronic,Gradual,Relapsing,Moderate,13,85,Young Adult,Slightly Female,Psychiatric,None,Moderate,Low,Rare,Chronic
dermatitis due to sun exposure,Common,0.75,3,10,Acute,Sudden,Self-limiting,Low,5,85,All Ages,Both,Dermatological,None,Mild,Very Low,Rare,Acute
developmental disability,Common,0.75,3650,25550,Chronic,Insidious,Chronic Stable,Moderate,0,18,Child,Both,Neurological,Psychiatric,Moderate,Very Low,Rare,Chronic
deviated nasal septum,Common,0.75,365,18250,Chronic,Gradual,Chronic Stable,Low,10,80,Young Adult,Both,ENT,None,Mild,Very Low,Rare,Chronic
diabetes,Very Common,1,365,21900,Chronic,Gradual,Progressive,High,10,95,Middle Aged,Both,Endocrine,Multisystem,Moderate,Low,Rare,Chronic
diabetes insipidus,Very Rare,0.15,365,18250,Chronic,Gradual,Chronic Stable,Moderate,5,75,All Ages,Both,Endocrine,Genitourinary,Moderate,Very Low,Rare,Chronic
diabetic ketoacidosis,Common,0.75,1,3,Very Acute,Sudden,Progressive,Emergency,10,75,Young Adult,Both,Endocrine,Multisystem,Severe,Moderate,Almost Always,Acute
diabetic kidney disease,Common,0.75,1095,10950,Chronic,Insidious,Progressive,High,35,90,Middle Aged,Both,Genitourinary,Endocrine,Moderate to Severe,Moderate,Often,Chronic Progressive
diabetic peripheral neuropathy,Common,0.75,365,10950,Chronic,Insidious,Progressive,Moderate,40,95,Middle Aged,Both,Neurological,Endocrine,Moderate,Very Low,Rare,Chronic Progressive
diabetic retinopathy,Common,0.75,365,7300,Chronic,Insidious,Progressive,High,35,95,Middle Aged,Both,Ophthalmological,Endocrine,Moderate to Severe,Very Low,Rare,Chronic Progressive
diaper rash,Very Common,1,2,7,Acute,Sudden,Self-limiting,Low,0,2,Infant,Both,Dermatological,None,Mild,Very Low,Rare,Acute Self-Limiting
dislocation of the ankle,Rare,0.35,30,180,Chronic,Sudden,Self-limiting,Emergency,5,80,Young Adult,Both,Musculoskeletal,None,Moderate,Very Low,Often,Acute
dislocation of the elbow,Rare,0.35,21,120,Chronic,Sudden,Self-limiting,Emergency,2,75,Child,Both,Musculoskeletal,None,Moderate,Very Low,Often,Acute
dislocation of the finger,Common,0.75,14,60,Chronic,Sudden,Self-limiting,Moderate,5,85,All Ages,Both,Musculoskeletal,None,Mild,Very Low,Rare,Acute
dislocation of the foot,Rare,0.35,30,180,Chronic,Sudden,Self-limiting,Emergency,5,80,Young Adult,Both,Musculoskeletal,None,Moderate,Very Low,Often,Acute
dislocation of the hip,Rare,0.35,60,365,Chronic,Sudden,Progressive,Emergency,0,85,All Ages,Both,Musculoskeletal,None,Moderate to Severe,Very Low,Almost Always,Acute
dislocation of the knee,Rare,0.35,60,365,Chronic,Sudden,Progressive,Emergency,15,70,Young Adult,Both,Musculoskeletal,None,Severe,Very Low,Almost Always,Acute
dislocation of the patella,Common,0.75,21,90,Chronic,Sudden,Relapsing,High,13,40,Adolescent,Both,Musculoskeletal,None,Moderate,Very Low,Often,Acute
dislocation of the shoulder,Common,0.75,14,180,Chronic,Sudden,Relapsing,High,15,75,Young Adult,Slightly Male,Musculoskeletal,None,Moderate,Very Low,Often,Acute
dislocation of the vertebra,Rare,0.35,30,730,Chronic,Sudden,Progressive,Emergency,15,85,All Ages,Both,Musculoskeletal,Neurological,Severe,Low,Almost Always,Acute
dislocation of the wrist,Rare,0.35,21,120,Chronic,Sudden,Self-limiting,High,5,85,All Ages,Both,Musculoskeletal,None,Moderate,Very Low,Rare,Chronic
dissociative disorder,Rare,0.35,30,18250,Chronic,Sudden,Relapsing,Moderate,15,45,Young Adult,Slightly Female,Psychiatric,None,Moderate to Severe,Low,Sometimes,Acute
diverticulitis,Common,0.75,7,21,Subacute,Sudden,Relapsing,High,45,95,Elderly,Both,Gastrointestinal,Infectious Disease,Mild,Very Low,Rare,Chronic
diverticulosis,Common,0.75,365,10950,Chronic,Insidious,Chronic Stable,Low,45,95,Elderly,Both,Gastrointestinal,None,Severe,Low,Rare,Chronic
down syndrome,Rare,0.35,3650,21900,Chronic,Sudden,Chronic Stable,Moderate,0,60,Infant,Both,Multisystem,Neurological,Moderate,Low,Sometimes,Chronic
drug abuse,Common,0.75,365,14600,Chronic,Insidious,Progressive,Moderate,15,55,Young Adult,Slightly Male,Psychiatric,Multisystem,Moderate,Low,Sometimes,Chronic
drug abuse (barbiturates),Common,0.75,365,14600,Chronic,Insidious,Progressive,Moderate,15,65,Young Adult,Both,Psychiatric,Neurological,Moderate,Low,Sometimes,Chronic
drug abuse (cocaine),Common,0.75,365,14600,Chronic,Insidious,Progressive,Moderate,18,55,Young Adult,Slightly Male,Psychiatric,Cardiovascular,Moderate,Low,Sometimes,Chronic
drug abuse (methamphetamine),Common,0.75,365,14600,Chronic,Insidious,Progressive,Moderate,18,55,Young Adult,Slightly Male,Psychiatric,Cardiovascular,Moderate,Low,Sometimes,Chronic
drug abuse (opioids),Common,0.75,365,14600,Chronic,Insidious,Progressive,Moderate,18,65,Young Adult,Slightly Male,Psychiatric,Respiratory,Severe,Moderate,Almost Always,Acute
drug poisoning due to medication,Common,0.75,1,7,Acute,Sudden,Self-limiting,Emergency,0,90,All Ages,Both,Multisystem,None,Moderate,Low,Sometimes,Acute
drug reaction,Common,0.75,1,14,Subacute,Sudden,Self-limiting,High,0,90,All Ages,Both,Multisystem,Dermatological,Moderate,Low,Often,Acute
drug withdrawal,Common,0.75,3,14,Subacute,Sudden,Self-limiting,Emergency,18,65,Young Adult,Both,Psychiatric,Neurological,Mild,Very Low,Rare,Chronic
dry eye of unknown cause,Very Common,1,90,14600,Chronic,Gradual,Chronic Stable,Low,40,95,Middle Aged,Slightly Female,Ophthalmological,None,Moderate,Very Low,Rare,Chronic
dumping syndrome,Rare,0.35,30,10950,Chronic,Sudden,Chronic Stable,Moderate,20,75,Young Adult,Both,Gastrointestinal,None,Mild,Very Low,Rare,Relapsing-Remitting
dyshidrosis,Common,0.75,14,3650,Chronic,Sudden,Relapsing,Low,15,50,Young Adult,Both,Dermatological,None,Moderate,Very Low,Rare,Chronic
dysthymic disorder,Common,0.75,730,18250,Chronic,Insidious,Chronic Stable,Moderate,18,75,Young Adult,Slightly Female,Psychiatric,None,Mild to Moderate,Very Low,Rare,Acute
ear drum damage,Common,0.75,7,180,Chronic,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,ENT,None,Mild,Very Low,Rare,Acute
ear wax impaction,Very Common,1,7,365,Chronic,Gradual,Self-limiting,Low,0,95,All Ages,Both,ENT,None,Moderate to Severe,Low,Sometimes,Chronic
eating disorder,Common,0.75,180,7300,Chronic,Gradual,Progressive,High,12,35,Adolescent,Female,Psychiatric,Gastrointestinal,Severe,Moderate,Almost Always,Acute
ectopic pregnancy,Common,0.75,1,3,Very Acute,Sudden,Progressive,Emergency,18,45,Young Adult,Female,Reproductive,None,Mild,Very Low,Rare,Chronic
ectropion,Rare,0.35,365,7300,Chronic,Gradual,Progressive,Low,60,95,Elderly,Both,Ophthalmological,None,Mild to Moderate,Very Low,Rare,Chronic
eczema,Very Common,1,30,21900,Chronic,Gradual,Relapsing,Low,0,90,All Ages,Both,Dermatological,Autoimmune,Severe,High,Almost Always,Chronic
edward syndrome,Very Rare,0.15,1,365,Chronic,Sudden,Progressive,High,0,1,Infant,Slightly Female,Multisystem,Neurological,Moderate to Severe,Low,Sometimes,Chronic Progressive
emphysema,Common,0.75,365,10950,Chronic,Insidious,Progressive,High,45,95,Elderly,Slightly Male,Respiratory,None,Severe,Low,Almost Always,Acute
empyema,Rare,0.35,14,60,Chronic,Sudden,Progressive,High,0,90,All Ages,Both,Respiratory,Infectious Disease,Severe,Moderate,Almost Always,Acute
encephalitis,Rare,0.35,7,30,Chronic,Sudden,Progressive,Emergency,0,90,All Ages,Both,Infectious Disease,Neurological,Severe,Moderate,Almost Always,Subacute
endocarditis,Rare,0.35,21,90,Chronic,Gradual,Progressive,Emergency,20,95,All Ages,Slightly Male,Cardiovascular,Infectious Disease,Severe,Moderate,Often,Chronic Progressive
endometrial cancer,Common,0.75,180,3650,Chronic,Gradual,Progressive,High,50,85,Elderly,Female,Reproductive,None,Moderate,Very Low,Rare,Chronic
endometrial hyperplasia,Common,0.75,90,3650,Chronic,Gradual,Progressive,Moderate,40,70,Middle Aged,Female,Reproductive,Endocrine,Moderate,Very Low,Rare,Chronic
endometriosis,Common,0.75,365,10950,Chronic,Gradual,Progressive,Moderate,15,50,Young Adult,Female,Reproductive,None,Severe,Very Low,Often,Acute
endophthalmitis,Very Rare,0.15,1,7,Acute,Sudden,Progressive,Emergency,0,95,All Ages,Both,Ophthalmological,Infectious Disease,Moderate to Severe,Low,Often,Acute
envenomation from spider or animal bite,Common,0.75,1,7,Acute,Sudden,Progressive,Emergency,0,90,All Ages,Both,Multisystem,Dermatological,Severe,Moderate,Often,Chronic Progressive
ependymoma,Very Rare,0.15,180,1825,Chronic,Gradual,Progressive,High,0,65,Child,Both,Neurological,None,Moderate,Very Low,Rare,Acute
epididymitis,Common,0.75,7,21,Subacute,Sudden,Self-limiting,Moderate,18,55,Young Adult,Male,Reproductive,Infectious Disease,Severe,High,Almost Always,Acute
epidural hemorrhage,Rare,0.35,0,1,Very Acute,Sudden,Progressive,Emergency,5,85,All Ages,Slightly Male,Neurological,None,Moderate,Low,Sometimes,Chronic
epilepsy,Common,0.75,365,25550,Chronic,Sudden,Relapsing,High,0,90,All Ages,Both,Neurological,None,Mild,Very Low,Rare,Chronic
erectile dysfunction,Very Common,1,90,10950,Chronic,Gradual,Chronic Stable,Low,40,95,Middle Aged,Male,Reproductive,Cardiovascular,Moderate,Very Low,Sometimes,Acute
erythema multiforme,Rare,0.35,14,30,Chronic,Sudden,Self-limiting,Moderate,10,45,Young Adult,Both,Dermatological,Autoimmune,Severe,High,Often,Chronic Progressive
esophageal cancer,Rare,0.35,180,1095,Chronic,Gradual,Progressive,High,50,90,Elderly,Slightly Male,Gastrointestinal,None,Severe,Moderate,Often,Chronic
esophageal varices,Rare,0.35,365,7300,Chronic,Insidious,Progressive,Emergency,35,85,Middle Aged,Slightly Male,Gastrointestinal,Cardiovascular,Moderate,Very Low,Rare,Acute
esophagitis,Common,0.75,14,90,Chronic,Gradual,Self-limiting,Moderate,20,85,Middle Aged,Both,Gastrointestinal,None,Mild,Very Low,Rare,Chronic Progressive
essential tremor,Common,0.75,3650,18250,Chronic,Insidious,Progressive,Low,40,95,Middle Aged,Both,Neurological,None,Mild,Very Low,Rare,Subacute
eustachian tube dysfunction (ear disorder),Very Common,1,7,90,Chronic,Gradual,Self-limiting,Moderate,0,85,All Ages,Both,ENT,None,Moderate,Very Low,Sometimes,Acute
extrapyramidal effect of drugs,Rare,0.35,1,30,Chronic,Sudden,Self-limiting,Moderate,15,85,Young Adult,Both,Neurological,Psychiatric,Mild,Very Low,Rare,Chronic
eye alignment disorder,Common,0.75,365,18250,Chronic,Gradual,Chronic Stable,Low,0,12,Child,Both,Ophthalmological,Neurological,Moderate,Very Low,Rare,Chronic
factitious disorder,Rare,0.35,365,10950,Chronic,Gradual,Relapsing,Moderate,18,50,Young Adult,Slightly Female,Psychiatric,None,Mild to Moderate,Very Low,Rare,Acute
female genitalia infection,Very Common,1,3,14,Subacute,Sudden,Self-limiting,Moderate,15,55,Young Adult,Female,Reproductive,Infectious Disease,Moderate,Very Low,Rare,Chronic
female infertility of unknown cause,Common,0.75,365,7300,Chronic,Insidious,Chronic Stable,Low,18,45,Young Adult,Female,Reproductive,Endocrine,Severe,Very Low,Rare,Chronic
fetal alcohol syndrome,Rare,0.35,3650,25550,Chronic,Sudden,Chronic Stable,Moderate,0,0,Infant,Both,Multisystem,Neurological,Mild,Very Low,Rare,Chronic
fibroadenoma,Common,0.75,365,10950,Chronic,Gradual,Chronic Stable,Low,15,35,Young Adult,Female,Reproductive,None,Mild,Very Low,Rare,Chronic
fibrocystic breast disease,Common,0.75,365,10950,Chronic,Gradual,Relapsing,Moderate,20,50,Young Adult,Female,Reproductive,None,Moderate,Very Low,Rare,Chronic
fibromyalgia,Common,0.75,365,18250,Chronic,Insidious,Chronic Stable,Moderate,20,60,Middle Aged,Slightly Female,Musculoskeletal,Psychiatric,Mild,Very Low,Rare,Chronic
flat feet,Very Common,1,3650,25550,Chronic,Gradual,Chronic Stable,Low,2,90,All Ages,Both,Musculoskeletal,None,Mild,Very Low,Rare,Chronic
floaters,Very Common,1,365,14600,Chronic,Gradual,Chronic Stable,Low,40,90,Middle Aged,Both,Ophthalmological,None,Mild to Moderate,Low,Sometimes,Acute Self-Limiting
flu,Very Common,1,3,10,Acute,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Infectious Disease,Respiratory,Moderate to Severe,Moderate,Often,Acute
fluid overload,Common,0.75,1,7,Acute,Sudden,Progressive,Emergency,40,95,Elderly,Both,Cardiovascular,Genitourinary,Mild to Moderate,Very Low,Rare,Chronic
folate deficiency,Common,0.75,30,365,Chronic,Insidious,Progressive,Moderate,0,90,All Ages,Both,Hematological,Multisystem,Mild to Severe,Low,Sometimes,Chronic
food allergy,Common,0.75,0,1,Very Acute,Sudden,Self-limiting,High,0,90,All Ages,Both,Multisystem,Gastrointestinal,Mild,Very Low,Rare,Acute
foreign body in the ear,Common,0.75,1,3,Very Acute,Sudden,Progressive,Moderate,1,10,Child,Both,ENT,None,Moderate,Very Low,Sometimes,Acute
foreign body in the eye,Common,0.75,0,1,Very Acute,Sudden,Progressive,High,0,90,All Ages,Slightly Male,Ophthalmological,None,Moderate,Low,Often,Acute
foreign body in the gastrointestinal tract,Common,0.75,1,5,Acute,Sudden,Progressive,Emergency,1,5,Infant,Both,Gastrointestinal,None,Mild,Very Low,Rare,Acute
foreign body in the nose,Common,0.75,1,3,Very Acute,Sudden,Progressive,Moderate,1,6,Child,Both,ENT,None,Moderate to Severe,Low,Often,Acute
foreign body in the throat,Common,0.75,0,1,Very Acute,Sudden,Progressive,Emergency,1,90,All Ages,Both,ENT,Respiratory,Mild,Very Low,Rare,Acute
foreign body in the vagina,Common,0.75,1,7,Acute,Sudden,Progressive,Moderate,2,50,Child,Female,Reproductive,Genitourinary,Moderate,Very Low,Often,Acute
fracture of the ankle,Common,0.75,42,180,Chronic,Sudden,Self-limiting,High,5,85,All Ages,Both,Musculoskeletal,None,Moderate,Very Low,Sometimes,Acute
fracture of the arm,Common,0.75,42,120,Chronic,Sudden,Self-limiting,High,0,90,All Ages,Both,Musculoskeletal,None,Moderate to Severe,Low,Often,Acute
fracture of the facial bones,Common,0.75,21,90,Chronic,Sudden,Self-limiting,High,15,70,Young Adult,Slightly Male,Musculoskeletal,ENT,Mild,Very Low,Rare,Acute
fracture of the finger,Common,0.75,21,42,Chronic,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Musculoskeletal,None,Mild to Moderate,Very Low,Sometimes,Acute
fracture of the foot,Common,0.75,42,120,Chronic,Sudden,Self-limiting,High,5,85,All Ages,Both,Musculoskeletal,None,Mild to Moderate,Very Low,Sometimes,Acute
fracture of the hand,Common,0.75,21,60,Chronic,Sudden,Self-limiting,Moderate,0,90,All Ages,Both,Musculoskeletal,None,Moderate to Severe,Low,Often,Acute
fracture of the jaw,Common,0.75,30,90,Chronic,Sudden,Self-limiting,High,15,70,Young Adult,Slightly Male,Musculoskeletal,ENT,Moderate to Severe,Low,Almost Always,Acute
fracture of the leg,Common,0.75,60,240,Chronic,Sudden,Self-limiting,High,0,90,All Ages,Both,Musculoskeletal,None,Severe,Moderate,Almost Always,Acute
fracture of the neck,Rare,0.35,90,365,Chronic,Sudden,Progressive,Emergency,15,90,All Ages,Slightly Male,Musculoskeletal,Neurological,Moderate,Very Low,Often,Acute
fracture of the patella,Common,0.75,42,120,Chronic,Sudden,Self-limiting,High,15,80,Young Adult,Both,Musculoskeletal,None,Severe,Moderate,Almost Always,Acute
fracture of the pelvis,Rare,0.35,60,180,Chronic,Sudden,Progressive,Emergency,15,95,Elderly,Both,Musculoskeletal,Genitourinary,Moderate,Low,Sometimes,Acute
fracture of the rib,Common,0.75,21,60,Chronic,Sudden,Self-limiting,Moderate,15,95,All Ages,Slightly Male,Musculoskeletal,Respiratory,Moderate,Very Low,Sometimes,Acute
fracture of the shoulder,Common,0.75,42,120,Chronic,Sudden,Self-limiting,High,5,95,All Ages,Both,Musculoskeletal,None,Severe,Moderate,Almost Always,Acute
fracture of the skull,Rare,0.35,30,180,Chronic,Sudden,Progressive,Emergency,0,90,All Ages,Slightly Male,Musculoskeletal,Neurological,Severe,Low,Almost Always,Acute
fracture of the vertebra,Common,0.75,60,365,Chronic,Sudden,Progressive,Emergency,20,95,Elderly,Both,Musculoskeletal,Neurological,Severe,Low,Rare,Chronic Progressive
friedrich ataxia,Very Rare,0.15,3650,18250,Chronic,Insidious,Progressive,Moderate,5,25,Adolescent,Both,Neurological,Musculoskeletal,Moderate to Severe,Very Low,Sometimes,Acute
frostbite,Common,0.75,7,60,Chronic,Sudden,Self-limiting,High,0,90,All Ages,Both,Dermatological,Cardiovascular,Mild,Very Low,Rare,Chronic
fungal infection of the hair,Common,0.75,21,90,Chronic,Gradual,Progressive,Low,2,70,All Ages,Both,Dermatological,Infectious Disease,Mild,Very Low,Rare,Acute
fungal infection of the skin,Very Common,1,14,60,Chronic,Gradual,Relapsing,Low,0,90,All Ages,Both,Dermatological,Infectious Disease,Moderate,Low,Sometimes,Chronic
g6pd enzyme deficiency,Common,0.75,3650,25550,Chronic,Sudden,Relapsing,Moderate,0,90,All Ages,Male,Hematological,None,Mild,Very Low,Rare,Chronic
galactorrhea of unknown cause,Rare,0.35,30,365,Chronic,Gradual,Chronic Stable,Low,18,50,Young Adult,Female,Endocrine,Reproductive,Moderate,Low,Sometimes,Chronic
gallstone,Common,0.75,1,3650,Chronic,Sudden,Relapsing,Moderate,25,85,Middle Aged,Slightly Female,Gastrointestinal,None,Mild,Very Low,Rare,Chronic
ganglion cyst,Common,0.75,30,1825,Chronic,Gradual,Relapsing,Low,15,50,Young Adult,Slightly Female,Musculoskeletal,Dermatological,Severe,High,Almost Always,Acute
gas gangrene,Very Rare,0.15,1,3,Very Acute,Sudden,Progressive,Emergency,0,90,All Ages,Both,Infectious Disease,Musculoskeletal,Mild to Moderate,Very Low,Rare,Chronic
gastritis,Common,0.75,3,30,Chronic,Sudden,Relapsing,Moderate,15,90,All Ages,Both,Gastrointestinal,None,Moderate,Low,Sometimes,Chronic
gastroduodenal ulcer,Common,0.75,14,90,Chronic,Gradual,Relapsing,Moderate,20,85,Middle Aged,Both,Gastrointestinal,None,Mild to Moderate,Very Low,Rare,Chronic
gastroesophageal reflux disease (gerd),Very Common,1,30,10950,Chronic,Gradual,Relapsing,Moderate,15,90,Middle Aged,Both,Gastrointestinal,Respiratory,Severe,Moderate,Almost Always,Acute
gastrointestinal hemorrhage,Common,0.75,1,7,Acute,Sudden,Progressive,Emergency,20,95,Middle Aged,Both,Gastrointestinal,Cardiovascular,Moderate,Very Low,Sometimes,Chronic
gastroparesis,Rare,0.35,90,3650,Chronic,Insidious,Progressive,Moderate,20,80,Middle Aged,Slightly Female,Gastrointestinal,Neurological,Mild,Very Low,Rare,Relapsing-Remitting
genital herpes,Very Common,1,7,10950,Chronic,Sudden,Relapsing,Moderate,16,60,Young Adult,Both,Reproductive,Infectious Disease,Moderate,Low,Sometimes,Acute
gestational diabetes,Common,0.75,90,180,Chronic,Gradual,Self-limiting,Moderate,18,45,Young Adult,Female,Endocrine,Reproductive,Moderate to Severe,Very Low,Rare,Chronic Progressive
glaucoma,Common,0.75,365,10950,Chronic,Insidious,Progressive,Moderate,40,95,Elderly,Both,Ophthalmological,None,Severe,Moderate,Often,Chronic
glucocorticoid deficiency,Rare,0.35,30,10950,Chronic,Insidious,Progressive,High,0,80,All Ages,Both,Endocrine,Multisystem,Mild to Moderate,Very Low,Rare,Chronic
goiter,Common,0.75,365,7300,Chronic,Insidious,Progressive,Moderate,15,75,Middle Aged,Slightly Female,Endocrine,ENT,Mild to Moderate,Very Low,Rare,Acute
gonorrhea,Common,0.75,7,30,Chronic,Sudden,Progressive,Moderate,16,50,Young Adult,Both,Infectious Disease,Reproductive,Moderate,Very Low,Rare,Relapsing-Remitting
gout,Common,0.75,3,14,Subacute,Sudden,Relapsing,Moderate,30,90,Middle Aged,Male,Musculoskeletal,Endocrine,Moderate,Very Low,Rare,Chronic
granuloma inguinale,Very Rare,0.15,14,90,Chronic,Gradual,Progressive,Moderate,18,50,Young Adult,Both,Infectious Disease,Reproductive,Moderate,Low,Sometimes,Chronic
graves disease,Common,0.75,365,10950,Chronic,Insidious,Progressive,Moderate,20,60,Young Adult,Female,Endocrine,Ophthalmological,Severe,Moderate,Almost Always,Acute
guillain barre syndrome,Very Rare,0.15,14,365,Chronic,Sudden,Progressive,Emergency,0,90,All Ages,Both,Neurological,Autoimmune,Mild,Very Low,Rare,Chronic
gum disease,Very Common,1,365,10950,Chronic,Insidious,Progressive,Low,12,90,All Ages,Both,ENT,Infectious Disease,Mild,Very Low,Rare,Chronic
gynecomastia,Common,0.75,180,3650,Chronic,Gradual,Chronic Stable,Low,13,85,Adolescent,Male,Reproductive,Endocrine,Mild,Very Low,Rare,Chronic
hammer toe,Common,0.75,365,10950,Chronic,Gradual,Progressive,Low,40,90,Elderly,Slightly Female,Musculoskeletal,None,Mild to Moderate,Very Low,Rare,Chronic
hashimoto thyroiditis,Common,0.75,365,10950,Chronic,Insidious,Progressive,Moderate,30,70,Middle Aged,Female,Endocrine,Autoimmune,Severe,Moderate,Often,Chronic Progressive
head and neck cancer,Common,0.75,180,1825,Chronic,Gradual,Progressive,High,45,90,Elderly,Slightly Male,ENT,Respiratory,Moderate to Severe,Moderate,Often,Acute
head injury,Common,0.75,1,365,Chronic,Sudden,Self-limiting,High,0,90,All Ages,Slightly Male,Neurological,Musculoskeletal,Mild to Moderate,Very Low,Rare,Acute
headache after lumbar puncture,Common,0.75,2,7,Acute,Sudden,Self-limiting,Moderate,18,60,Young Adult,Slightly Female,Neurological,None,Severe,High,Almost Always,Acute
heart attack,Common,0.75,1,30,Chronic,Sudden,Progressive,Emergency,35,95,Elderly,Slightly Male,Cardiovascular,None,Moderate to Severe,Low,Often,Chronic
heart block,Common,0.75,1,10950,Chronic,Sudden,Chronic Stable,High,40,95,Elderly,Both,Cardiovascular,Neurological,Moderate to Severe,Low,Often,Acute
heart contusion,Rare,0.35,7,30,Chronic,Sudden,Self-limiting,High,0,90,All Ages,Slightly Male,Cardiovascular,Musculoskeletal,Severe,Moderate,Often,Chronic Progressive
heart failure,Common,0.75,365,7300,Chronic,Insidious,Progressive,High,40,95,Elderly,Both,Cardiovascular,Respiratory,Moderate,Low,Sometimes,Acute
heat exhaustion,Common,0.75,1,2,Very Acute,Sudden,Self-limiting,High,0,90,All Ages,Both,Multisystem,Cardiovascular,Severe,Moderate,Almost Always,Acute
heat stroke,Rare,0.35,1,3,Very Acute,Sudden,Progressive,Emergency,0,95,All Ages,Both,Multisystem,Neurological,Mild,Very Low,Rare,Chronic
hemangioma,Common,0.75,365,25550,Chronic,Sudden,Self-limiting,Low,0,10,Infant,Slightly Female,Cardiovascular,Dermatological,Moderate,Very Low,Sometimes,Acute
hemarthrosis,Rare,0.35,1,14,Subacute,Sudden,Progressive,High,0,80,All Ages,Slightly Male,Musculoskeletal,Hematological,Mild to Moderate,Very Low,Rare,Acute
hematoma,Common,0.75,7,30,Chronic,Sudden,Self-limiting,Moderate,0,95,All Ages,Both,Cardiovascular,Dermatological,Severe,Low,Often,Chronic
hemiplegia,Rare,0.35,365,25550,Chronic,Sudden,Chronic Stable,Moderate,0,95,All Ages,Both,Neurological,Musculoskeletal,Moderate,Low,Rare,Chronic Progressive
hemochromatosis,Rare,0.35,3650,18250,Chronic,Insidious,Progressive,Moderate,40,75,Middle Aged,Slightly Male,Multisystem,Hematological,Moderate to Severe,Low,Often,Chronic
hemolytic anemia,Rare,0.35,7,365,Chronic,Sudden,Progressive,High,0,85,All Ages,Both,Hematological,Autoimmune,Moderate to Severe,Low,Sometimes,Chronic
hemophilia,Rare,0.35,3650,25550,Chronic,Sudden,Chronic Stable,High,0,70,Child,Male,Hematological,Musculoskeletal,Mild to Moderate,Very Low,Rare,Chronic
hemorrhoids,Very Common,1,7,3650,Chronic,Gradual,Relapsing,Low,20,90,Middle Aged,Both,Gastrointestinal,Cardiovascular,Severe,Moderate,Almost Always,Chronic
